444140006 1012.66 0.0837537 0.32305 16.875 957.985 4.3003 30.0296 3562.77 
444140008 1012.92 0.075052 0.355355 16.8125 956.895 4.3003 29.8695 3554.71 
444140086 1012.89 0.0827566 0.347727 16.8438 957.206 4.3003 29.916 3583.67 
444140166 1012.88 0.09963 0.355166 16.8958 957.076 4.3003 29.8581 3569.22 
444140353 1012.88 0.128446 0.353906 16.8438 956.976 4.3003 29.8464 3558.64 
444140449 1012.74 0.120147 0.355796 16.9062 956.622 4.3003 29.9685 3560.09 
444140550 1012.71 0.0694879 0.355481 16.875 957.44 4.3003 29.8884 3548.31 
444140646 1012.74 0.0841525 0.352962 16.9375 957.076 4.3003 29.8205 3565.46 
444140749 1012.68 0.0841276 0.352017 16.875 956.976 4.3003 29.872 3566.13 
444140843 1012.71 0.0777713 0.353277 16.875 956.829 4.3003 29.9075 3560.98 
444140938 1012.68 0.0902799 0.355621 16.9375 956.774 4.3003 29.8939 3570.1 
444141035 1012.62 0.0739643 0.353592 16.875 956.572 4.3003 29.77 3568.53 
444141134 1012.57 0.0828333 0.355953 16.875 957.177 4.3003 29.8099 3570.84 
