# Created by CS-Studio Data Browser
# 
# Start Time : 2022-02-03 10:24:24.852
# End Time   : 2022-02-26 14:19:50.934
# Source     : Optimized Archived Data
# Desired Value Count: 10000.0
# Format     : Decimal (2 digits)
# 
# Data is in TAB-delimited columns, for import into e.g. Excel.
# The 'Time' column contains values like '2018-02-04 21:58:47.065'.
# In your spreadsheet program, a custom column format like
#     'yyyy-mm-d h:mm:ss.000'
# might be required to show the full timestamp detail.

# Channel: HAD:STS:GAS:measure0
# Archives:
# 1) RDB
#    URL: jdbc:postgresql://lxhaddcs10:5432/archive
# 
# Channel: HAD:STS:GAS:measure1
# Archives:
# 1) RDB
#    URL: jdbc:postgresql://lxhaddcs10:5432/archive
# 
# Channel: HAD:STS:GAS:measure2
# Archives:
# 1) RDB
#    URL: jdbc:postgresql://lxhaddcs10:5432/archive
# 
# Channel: HAD:STS:GAS:measure3
# Archives:
# 1) RDB
#    URL: jdbc:postgresql://lxhaddcs10:5432/archive
# 
# Channel: HAD:STS:GAS:measure4
# Archives:
# 1) RDB
#    URL: jdbc:postgresql://lxhaddcs10:5432/archive
# 
# Channel: HAD:STS:GAS:measure5
# Archives:
# 1) RDB
#    URL: jdbc:postgresql://lxhaddcs10:5432/archive
# 

# Time	HAD:STS:GAS:measure0 Value	HAD:STS:GAS:measure1 Value	HAD:STS:GAS:measure2 Value	HAD:STS:GAS:measure3 Value	HAD:STS:GAS:measure4 Value	HAD:STS:GAS:measure5 Value
2022-02-03 19:28:20.000	367.83	40.78	199.99	200.01	2.00	2.00
2022-02-03 19:31:40.000	365.65	40.91	199.99	200.00	2.00	2.00
2022-02-03 19:35:00.000	382.38	42.58	199.99	200.01	2.00	2.00
2022-02-03 19:38:20.000	367.96	40.93	200.01	200.00	2.00	2.00
2022-02-03 19:41:40.000	377.82	42.16	200.00	200.00	2.00	2.00
2022-02-03 19:45:00.000	370.01	41.27	200.01	200.00	2.00	2.00
2022-02-03 19:48:20.000	376.09	42.20	200.00	200.02	2.00	2.00
2022-02-03 19:51:40.000	376.20	41.68	199.99	199.99	2.00	2.00
2022-02-03 19:55:00.000	382.62	42.47	199.99	199.99	2.00	2.00
2022-02-03 19:58:20.000	382.12	42.70	200.01	200.00	2.00	2.00
2022-02-03 20:01:40.000	369.84	40.99	200.00	200.01	2.00	2.00
2022-02-03 20:05:00.000	383.26	42.76	200.01	200.00	2.00	2.00
2022-02-03 20:08:20.000	368.55	41.14	200.00	200.00	2.00	2.00
2022-02-03 20:11:40.000	365.38	40.58	199.98	200.00	2.00	2.00
2022-02-03 20:15:00.000	369.80	41.28	200.01	200.01	2.00	2.00
2022-02-03 20:18:20.000	363.78	40.55	199.99	200.01	2.00	2.00
2022-02-03 20:21:40.000	360.44	40.21	200.01	199.99	2.00	2.00
2022-02-03 20:25:00.000	362.43	40.62	200.00	200.00	2.00	2.00
2022-02-03 20:28:20.000	377.98	41.74	200.02	199.99	2.00	2.00
2022-02-03 20:31:40.000	371.40	41.28	200.01	200.01	2.00	2.00
2022-02-03 20:35:00.000	357.80	39.56	199.98	200.01	2.00	2.00
2022-02-03 20:38:20.000	357.91	39.52	200.01	200.02	2.00	2.00
2022-02-03 20:41:40.000	362.99	40.52	200.02	200.00	2.00	2.00
2022-02-03 20:45:00.000	372.29	41.52	200.00	199.97	2.00	2.00
2022-02-03 20:48:20.000	386.72	43.37	199.99	199.98	2.00	2.00
2022-02-03 20:51:40.000	381.07	42.02	200.01	200.01	2.00	2.00
2022-02-03 20:55:00.000	381.60	42.36	200.00	200.02	2.00	2.00
2022-02-03 20:58:20.000	370.90	40.78	199.98	199.97	2.00	2.00
2022-02-03 21:01:40.000	372.80	41.53	200.01	199.99	2.00	2.00
2022-02-03 21:05:00.000	374.78	41.53	200.00	200.01	2.00	2.00
2022-02-03 21:08:20.000	361.06	40.12	200.01	200.00	2.00	2.00
2022-02-03 21:11:40.000	377.18	42.24	199.99	200.01	2.00	2.00
2022-02-03 21:15:00.000	370.47	40.66	199.99	199.99	2.00	2.00
2022-02-03 21:18:20.000	369.02	40.79	200.01	200.01	2.00	2.00
2022-02-03 21:21:40.000	359.89	40.11	200.00	200.01	2.00	2.00
2022-02-03 21:25:00.000	380.05	42.21	200.01	199.99	2.00	2.00
2022-02-03 21:28:20.000	371.70	41.42	200.00	200.01	2.00	2.00
2022-02-03 21:31:40.000	361.96	40.30	199.98	199.97	2.00	2.00
2022-02-03 21:35:00.000	372.25	41.19	200.02	200.01	2.00	2.00
2022-02-03 21:38:20.000	378.76	41.93	200.01	199.99	2.00	2.00
2022-02-03 21:41:40.000	378.53	42.43	200.02	199.99	2.00	2.00
